Symbol,Atomic number,Atomic weight,Group,Name,,,,,,,,,,,,,,,,,,,,,.
Ac,89,Awt,3,Actinium,,,,,,,,,,,,,,,,,,,,,
Al,13,26.98,13,Aluminium,,,,,,,,,,,,,,,,,,,,,
Am,95,Awt,9,Americium,,,,,,,,,,,,,,,,,,,,,
Sb,51,121.8,15,Antimony,,,,,,,,,,,,,,,,,,,,,
Ar,18,39.95,18,Argon,,,,,,,,,,,,,,,,,,,,,
As,33,74.92,15,Arsenic,,,,,,,,,,,,,,,,,,,,,
At,85,Awt,17,Astatine,,,,,,,,,,,,,,,,,,,,,
Ba,56,137.3,2,Barium,,,,,,,,,,,,,,,,,,,,,
Bk,97,Awt,11,Berkelium,,,,,,,,,,,,,,,,,,,,,
Be,4,9.012,2,Beryllium,,,,,,,,,,,,,,,,,,,,,
Bi,83,209,15,Bismuth,,,,,,,,,,,,,,,,,,,,,
Bh,107,Awt,7,Bohrium,,,,,,,,,,,,,,,,,,,,,
B,5,10.81,13,Boron,,,,,,,,,,,,,,,,,,,,,
Br,35,79.9,17,Bromine,,,,,,,,,,,,,,,,,,,,,
Cd,48,112.4,12,Cadmium,,,,,,,,,,,,,,,,,,,,,
Cs,55,132.9,1,Caesium,,,,,,,,,,,,,,,,,,,,,
Ca,20,40.08,2,Calcium,,,,,,,,,,,,,,,,,,,,,
Cf,98,Awt,12,Californium,,,,,,,,,,,,,,,,,,,,,
C,6,12,14,Carbon,,,,,,,,,,,,,,,,,,,,,
Ce,58,140.1,4,Cerium,,,,,,,,,,,,,,,,,,,,,
Cl,17,Awt,17,Chlorine,,,,,,,,,,,,,,,,,,,,,
Cr,24,52,6,Chromium,,,,,,,,,,,,,,,,,,,,,
Co,27,58.93,9,Cobalt,,,,,,,,,,,,,,,,,,,,,
Cn,112,285,12,Copernicium,,,,,,,,,,,,,,,,,,,,,
Cu,29,63.55,11,Copper,,,,,,,,,,,,,,,,,,,,,
Cm,96,Awt,10,Curium,,,,,,,,,,,,,,,,,,,,,
Ds,110,Awt,10,Darmstadtium,,,,,,,,,,,,,,,,,,,,,
Db,105,Awt,5,Dubnium,,,,,,,,,,,,,,,,,,,,,
Dy,66,162.5,12,Dysprosium,,,,,,,,,,,,,,,,,,,,,
Es,99,Awt,13,Einsteinium,,,,,,,,,,,,,,,,,,,,,
Er,68,167.3,14,Erbium,,,,,,,,,,,,,,,,,,,,,
Eu,63,152,9,Europium,,,,,,,,,,,,,,,,,,,,,
Fm,100,Awt,14,Fermium,,,,,,,,,,,,,,,,,,,,,
F,9,19,17,Fluorine,,,,,,,,,,,,,,,,,,,,,
Fr,87,Awt,1,Francium,,,,,,,,,,,,,,,,,,,,,
Gd,64,157.3,10,Gadolinium,,,,,,,,,,,,,,,,,,,,,
Ga,31,69.72,13,Gallium,,,,,,,,,,,,,,,,,,,,,
Ge,32,72.63,14,Germanium,,,,,,,,,,,,,,,,,,,,,
Au,79,197,11,Gold,,,,,,,,,,,,,,,,,,,,,
Hf,72,178.5,4,Hafnium,,,,,,,,,,,,,,,,,,,,,
Hs,108,Awt,8,Hassium,,,,,,,,,,,,,,,,,,,,,
He,2,4.003,18,Helium,,,,,,,,,,,,,,,,,,,,,
Ho,67,164.9,13,Holmium,,,,,,,,,,,,,,,,,,,,,
H,1,1.008,1,Hydrogen,,,,,,,,,,,,,,,,,,,,,
In,49,114.8,13,Indium,,,,,,,,,,,,,,,,,,,,,
I,53,126.9,17,Iodine,,,,,,,,,,,,,,,,,,,,,
Ir,77,192.2,9,Iridium,,,,,,,,,,,,,,,,,,,,,
Fe,26,55.85,8,Iron,,,,,,,,,,,,,,,,,,,,,
Kr,36,83.8,18,Krypton,,,,,,,,,,,,,,,,,,,,,
La,57,138.9,3,Lanthanum,,,,,,,,,,,,,,,,,,,,,
Lw,103,Awt,17,Lawrencium,,,,,,,,,,,,,,,,,,,,,
Pb,82,207.2,14,Lead,,,,,,,,,,,,,,,,,,,,,
Li,3,6.96,1,Lithium,,,,,,,,,,,,,,,,,,,,,
Lu,71,175,17,Lutetium,,,,,,,,,,,,,,,,,,,,,
Mg,12,24.31,2,Magnesium,,,,,,,,,,,,,,,,,,,,,
Mn,25,54.94,7,Manganese,,,,,,,,,,,,,,,,,,,,,
Mt,109,Awt,9,Meitnerium,,,,,,,,,,,,,,,,,,,,,
Md,101,Awt,15,Mendelevium,,,,,,,,,,,,,,,,,,,,,
Hg,80,200.6,12,Mercury,,,,,,,,,,,,,,,,,,,,,
Mo,42,95.96,6,Molybdenum,,,,,,,,,,,,,,,,,,,,,
Nd,60,144.2,6,Neodymium,,,,,,,,,,,,,,,,,,,,,
Ne,10,20.18,18,Neon,,,,,,,,,,,,,,,,,,,,,
Np,93,Awt,7,Neptunium,,,,,,,,,,,,,,,,,,,,,
Ni,28,58.69,10,Nickel,,,,,,,,,,,,,,,,,,,,,
Nb,41,92.91,5,Niobium,,,,,,,,,,,,,,,,,,,,,
N,7,14,5,Nitrogen,,,,,,,,,,,,,,,,,,,,,
No,102,Awt,16,Nobelium,,,,,,,,,,,,,,,,,,,,,
Os,76,190.2,8,Osmium,,,,,,,,,,,,,,,,,,,,,
O,8,16,16,Oxygen,,,,,,,,,,,,,,,,,,,,,
Pd,46,106.4,10,Palladium,,,,,,,,,,,,,,,,,,,,,
P,15,30.97,15,Phosphorus,,,,,,,,,,,,,,,,,,,,,
Pt,78,195.1,10,Platinum,,,,,,,,,,,,,,,,,,,,,
Pu,94,Awt,8,Plutonium,,,,,,,,,,,,,,,,,,,,,
Po,84,Awt,16,Polonium,,,,,,,,,,,,,,,,,,,,,
K,19,39.1,1,Potassium,,,,,,,,,,,,,,,,,,,,,
Pr,59,140.9,5,Praseodymium,,,,,,,,,,,,,,,,,,,,,
Pm,61,Awt,7,Promethium,,,,,,,,,,,,,,,,,,,,,
Pa,91,231.9,5,Proactinium,,,,,,,,,,,,,,,,,,,,,
Ra,88,Awt,2,Radium,,,,,,,,,,,,,,,,,,,,,
Rn,86,Awt,18,Radon,,,,,,,,,,,,,,,,,,,,,
Re,75,186.2,7,Rhenium,,,,,,,,,,,,,,,,,,,,,
Rh,45,102.9,9,Rhodium,,,,,,,,,,,,,,,,,,,,,
Rg,111,Awt,11,Roentgenium,,,,,,,,,,,,,,,,,,,,,
Rb,37,85.47,1,Rubidium,,,,,,,,,,,,,,,,,,,,,
Ru,44,101.1,8,Ruthenium,,,,,,,,,,,,,,,,,,,,,
Rf,104,Awt,4,Rutherfordium,,,,,,,,,,,,,,,,,,,,,
Sm,62,150.4,8,Samarium,,,,,,,,,,,,,,,,,,,,,
Sc,21,44.96,3,Scandium,,,,,,,,,,,,,,,,,,,,,
Sg,106,Awt,6,Seaborgium,,,,,,,,,,,,,,,,,,,,,
Se,34,78.96,16,Selenium,,,,,,,,,,,,,,,,,,,,,
Si,14,28.08,14,Silicon,,,,,,,,,,,,,,,,,,,,,
Ag,47,107.9,11,Silver,,,,,,,,,,,,,,,,,,,,,
Na,11,23,1,Sodium,,,,,,,,,,,,,,,,,,,,,
Sr,38,87.62,2,Strontium,,,,,,,,,,,,,,,,,,,,,
S,16,32.05,16,Sulfur,,,,,,,,,,,,,,,,,,,,,
Ta,73,180.9,5,Tantalum,,,,,,,,,,,,,,,,,,,,,
Tc,43,Awt,7,Technetium,,,,,,,,,,,,,,,,,,,,,
Te,52,127.8,16,Tellurium,,,,,,,,,,,,,,,,,,,,,
Tb,65,158.9,11,Terbium,,,,,,,,,,,,,,,,,,,,,
Tl,81,204.3,13,Thallium,,,,,,,,,,,,,,,,,,,,,
Th,90,232,4,Thorium,,,,,,,,,,,,,,,,,,,,,
Tm,69,168.9,15,Thulium,,,,,,,,,,,,,,,,,,,,,
Sn,50,118.7,14,Tin,,,,,,,,,,,,,,,,,,,,,
Ti,22,47.87,4,Titanium,,,,,,,,,,,,,,,,,,,,,
W,74,183.8,6,Tungsten,,,,,,,,,,,,,,,,,,,,,
U,92,238,6,Uranium,,,,,,,,,,,,,,,,,,,,,
V,23,50.94,5,Vanadium,,,,,,,,,,,,,,,,,,,,,
Xe,54,131.3,18,Xenon,,,,,,,,,,,,,,,,,,,,,
Yb,70,173.1,16,Ytterbium,,,,,,,,,,,,,,,,,,,,,
Y,39,88.91,3,Yttrium,,,,,,,,,,,,,,,,,,,,,
Zn,30,65.38,12,Zinc,,,,,,,,,,,,,,,,,,,,,
Zr,40,91.22,4,Zirconium,,,,,,,,,,,,,,,,,,,,,